slug,file_title,author_or_source,license,commons_page_url
salou,File:Casa Bonet (Salou) - 4.jpg,Ferran Llorens,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Casa_Bonet_(Salou)_-_4.jpg
castelldefels,File:Port Ginesta Castelldefels.jpg,Martinanavajo,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Port_Ginesta_Castelldefels.jpg
sitges,"File:Monument against homophobia in Sitges and memorial for Orlando shooting victims, Sitges, Spain.jpg",Vasconium,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Monument_against_homophobia_in_Sitges_and_memorial_for_Orlando_shooting_victims,_Sitges,_Spain.jpg"
dos-hermanas,File:Hipódromo de Dos Hermanas (Sevilla).JPG,Cárdenas,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Hipódromo_de_Dos_Hermanas_(Sevilla).JPG
l-hospitalet-de-llobregat,File:L'Hospitalet de Llobregat- Avinguda de la Gran Via (15928087936).jpg,"Jorge Franganillo from Barcelona, Spain",CC BY 2.0,https://commons.wikimedia.org/wiki/File:L'Hospitalet_de_Llobregat-_Avinguda_de_la_Gran_Via_(15928087936).jpg
mijas,"File:Ermita de la Virgen de la Peña, Mijas, Málaga, España, 2023-05-18, DD 83.jpg",Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Ermita_de_la_Virgen_de_la_Peña,_Mijas,_Málaga,_España,_2023-05-18,_DD_83.jpg"
manacor,File:Cala Manacor view from descent Plaça de la Costa d'en Blau to Passeig de Coves Blanques.jpg,Steffen Mokosch,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Cala_Manacor_view_from_descent_Plaça_de_la_Costa_d'en_Blau_to_Passeig_de_Coves_Blanques.jpg
torremolinos,File:Playa de Torremolinos (Málaga).jpg,Biblioteca de la Facultad de Empresa y Gestión Pública Universidad de Zaragoza,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Playa_de_Torremolinos_(Málaga).jpg
santa-pola,File:Casa consistorial de Santa Pola 01.jpg,19Tarrestnom65,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Casa_consistorial_de_Santa_Pola_01.jpg
puertollano,File:Complejo petroquímico de Puertollano 02.jpg,19Tarrestnom65,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Complejo_petroquímico_de_Puertollano_02.jpg
terrassa,File:Terranova i Terrassa - P1090522.jpg,Pere López Brosa,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Terranova_i_Terrassa_-_P1090522.jpg
gandia,File:Palma de Gandía 01.jpg,19Tarrestnom65,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Palma_de_Gandía_01.jpg
paterna,File:Ayuntamiento de Paterna 01.jpg,Simon Burchell,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Ayuntamiento_de_Paterna_01.jpg
ubeda,File:Úbeda - Sacra Capilla del Salvador - Fachada - 3.jpg,Benjamin Smith,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Úbeda_-_Sacra_Capilla_del_Salvador_-_Fachada_-_3.jpg
alcobendas,File:Fuente ornamental - Parque Jardin de la Vega - Alcobendas - Madrid 01.jpg,Javier Perez Montes,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Fuente_ornamental_-_Parque_Jardin_de_la_Vega_-_Alcobendas_-_Madrid_01.jpg
roses,File:Roses and Gulf-of-Roses.jpg,Alan Mattingly,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Roses_and_Gulf-of-Roses.jpg
lloret-de-mar,"File:Church of Sant Romà, Lloret de Mar.jpg",Partonez,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Church_of_Sant_Romà,_Lloret_de_Mar.jpg"
tres-cantos,"File:Tres Cantos, Madrid, Spain - panoramio.jpg",Ignacio Pérez Anguio,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Tres_Cantos,_Madrid,_Spain_-_panoramio.jpg"
girona,File:Cathedral of Girona (13).jpg,Krzysztof Golik,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Cathedral_of_Girona_(13).jpg
mostoles,"File:Móstoles, Commemorative plaque to the ""Independecia de España"".jpg",Alta Falisa,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Móstoles,_Commemorative_plaque_to_the_""Independecia_de_España"".jpg"
talavera-de-la-reina,"File:La Caprichosa, Talavera de la Reina.JPG",Asqueladd,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:La_Caprichosa,_Talavera_de_la_Reina.JPG"
aviles,File:Centro Tecnológico del Acero y Materiales Metálicos. Avilés. Asturias.jpg,Jovino Martínez Sierra,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Centro_Tecnológico_del_Acero_y_Materiales_Metálicos._Avilés._Asturias.jpg
calatayud,"File:Panorámica esférica del Seminario de Nobles, Calatayud, España, 2014-12-29, DD 01-105 HDR PAN.JPG",Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Panorámica_esférica_del_Seminario_de_Nobles,_Calatayud,_España,_2014-12-29,_DD_01-105_HDR_PAN.JPG"
barakaldo,File:Barakaldo - Munoa jauregi 4.jpg,Ebaki,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Barakaldo_-_Munoa_jauregi_4.jpg
cornell-de-llobregat,File:Ajuntament de Cornellà de Llobregat-5.JPG,Deosringas,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Ajuntament_de_Cornellà_de_Llobregat-5.JPG
denia,"File:Vista de Denia desde el castillo, España, 2022-07-13, DD 07-15 PAN.jpg",Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Vista_de_Denia_desde_el_castillo,_España,_2022-07-13,_DD_07-15_PAN.jpg"
arganda-del-rey,File:Aceitunas - Puente de Arganda - Arganda del Rey 01.jpg,Javier Perez Montes,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Aceitunas_-_Puente_de_Arganda_-_Arganda_del_Rey_01.jpg
castellon,"File:""Trenet turístico"" (Castellón de la Plana), 2025.jpg",Juan Emilio Prades Bel,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:""Trenet_turístico""_(Castellón_de_la_Plana),_2025.jpg"
alcala-de-henares,"File:Parador de Alcalá de Henares, España, 2015-01-10, DD 07.JPG",Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Parador_de_Alcalá_de_Henares,_España,_2015-01-10,_DD_07.JPG"
leganes,File:Leganes-panoramica-040711.jpg,FDV,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Leganes-panoramica-040711.jpg
la-laguna,"File:Casa Museo Cayetano Gómez Felipe. La Laguna, Tenerife. Canarias. España. Spain.jpg",CARLOS TEIXIDOR CADENAS,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:Casa_Museo_Cayetano_Gómez_Felipe._La_Laguna,_Tenerife._Canarias._España._Spain.jpg"
