slug,nombre,ccaa,poblacion,precio_m2,alquiler_medio,roi,var_precio_anual,var_alquiler_anual,dias_mercado,dias_mercado_flag,fuente_precio,fuente_alquiler,fecha_extraccion,trimestre
lleida,Lleida,Cataluña,112035,1300,650,6.0,7.5,16.1,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
murcia,Murcia,R. de Murcia,345759,1750,860,5.9,9.0,13.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
zamora,Zamora,Castilla y León,63783,960,600,7.5,7.0,7.8,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
castellon,Castellón,C. Valenciana,180379,1500,750,6.0,8.0,13.5,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
huelva,Huelva,Andalucía,140675,1400,700,6.0,9.0,14.4,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
jaen,Jaén,Andalucía,104776,980,580,7.1,8.5,6.8,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cuenca,Cuenca,Castilla-La Mancha,43733,900,560,7.5,10.0,12.9,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mieres,Mieres,Asturias,51423,750,420,6.7,2.8,4.0,34,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
avila,Ávila,Castilla y León,47187,1120,660,7.1,9.0,20.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ferrol,Ferrol,Galicia,83048,800,440,6.6,2.8,4.0,32,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
langreo,Langreo,Asturias,50597,820,452,6.6,2.8,4.0,32,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
las-palmas-gc,Las Palmas GC,Canarias,381868,2100,980,5.6,10.0,11.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
linares,Linares,Andalucía,60222,780,430,6.6,3.5,5.0,32,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
almeria,Almería,Andalucía,170503,1380,760,6.6,9.5,14.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
don-benito,Don Benito,Extremadura,31022,880,480,6.5,3.5,5.0,32,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lugo,Lugo,Galicia,85174,980,570,7.0,7.0,8.1,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ponferrada,Ponferrada,Castilla y León,61575,900,490,6.5,4.2,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
talavera-de-la-reina,Talavera de la Reina,Castilla-La Mancha,70922,850,465,6.6,4.2,6.0,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
