slug,nombre,ccaa,reg,precio_actual,alquiler_actual,roi_actual,var_precio_anual,var_alquiler_anual,dias_mercado,ine_code
lleida,Lleida,Cataluña,centro,1300,650,6.0,7.5,16.1,22,
murcia,Murcia,R. de Murcia,levante,1750,860,5.9,9.0,13.0,20,
zamora,Zamora,Castilla y León,centro,960,600,7.5,7.0,7.8,28,
castellon,Castellón,C. Valenciana,levante,1500,750,6.0,8.0,13.5,23,
huelva,Huelva,Andalucía,andalucia,1400,700,6.0,9.0,14.4,24,
jaen,Jaén,Andalucía,andalucia,980,580,7.1,8.5,6.8,26,
cuenca,Cuenca,Castilla-La Mancha,centro,900,560,7.5,10.0,12.9,30,
mieres,Mieres,Asturias,norte,750,420,6.7,2.8,4.0,34,
avila,Ávila,Castilla y León,centro,1120,660,7.1,9.0,20.0,27,
ferrol,Ferrol,Galicia,norte,800,440,6.6,2.8,4.0,32,
langreo,Langreo,Asturias,norte,820,452,6.6,2.8,4.0,32,
las-palmas-gc,Las Palmas GC,Canarias,islas,2100,980,5.6,10.0,11.0,20,
linares,Linares,Andalucía,andalucia,780,430,6.6,3.5,5.0,32,
almeria,Almería,Andalucía,andalucia,1380,760,6.6,9.5,14.0,25,
don-benito,Don Benito,Extremadura,centro,880,480,6.5,3.5,5.0,32,
lugo,Lugo,Galicia,norte,980,570,7.0,7.0,8.1,30,
ponferrada,Ponferrada,Castilla y León,centro,900,490,6.5,4.2,6.0,28,
talavera-de-la-reina,Talavera de la Reina,Castilla-La Mancha,centro,850,465,6.6,4.2,6.0,30,
aranda-de-duero,Aranda de Duero,Castilla y León,centro,950,510,6.4,4.2,6.0,30,
badajoz,Badajoz,Extremadura,centro,920,530,6.9,8.0,7.4,29,
calahorra,Calahorra,La Rioja,centro,1000,540,6.5,4.2,6.0,28,
ciudad-real,Ciudad Real,Castilla-La Mancha,centro,900,540,7.2,10.5,14.4,28,
lorca,Lorca,R. de Murcia,levante,900,490,6.5,4.9,7.0,30,
medina-del-campo,Medina del Campo,Castilla y León,centro,920,494,6.4,3.5,5.0,32,
plasencia,Plasencia,Extremadura,centro,910,491,6.5,4.2,6.0,30,
soria,Soria,Castilla y León,centro,840,500,7.1,11.0,15.0,29,
teruel,Teruel,Aragón,centro,820,490,7.2,9.0,9.0,30,
elda,Elda,C. Valenciana,levante,1100,580,6.3,5.6,8.0,26,
merida,Mérida,Extremadura,centro,1050,560,6.4,4.9,7.0,28,
miranda-de-ebro,Miranda de Ebro,Castilla y León,centro,1000,530,6.4,4.2,6.0,28,
ourense,Ourense,Galicia,norte,1080,610,6.8,8.0,8.1,29,
tordesillas,Tordesillas,Castilla y León,centro,970,516,6.4,4.2,6.0,30,
torre-pacheco,Torre-Pacheco,R. de Murcia,levante,1200,630,6.3,6.3,9.0,25,
caceres,Cáceres,Extremadura,centro,960,560,7.0,8.5,7.5,28,
orense,Orense,Galicia,norte,1100,580,6.3,4.9,7.0,26,
aguilas,Águilas,R. de Murcia,levante,1400,720,6.2,7.0,10.0,24,
albacete,Albacete,Castilla-La Mancha,centro,1200,680,6.8,8.5,13.6,26,
algeciras,Algeciras,Andalucía,andalucia,1200,620,6.2,5.6,8.0,26,
aviles,Avilés,Asturias,norte,1160,601,6.2,4.2,6.0,28,
cartagena,Cartagena,R. de Murcia,levante,1360,701,6.2,7.0,10.0,22,
mazarron,Mazarrón,R. de Murcia,levante,1600,830,6.2,7.7,11.0,22,
motril,Motril,Andalucía,andalucia,1440,739,6.2,6.3,9.0,24,
antequera,Antequera,Andalucía,andalucia,1100,560,6.1,4.9,7.0,28,
orihuela,Orihuela,C. Valenciana,levante,1400,700,6.0,6.3,9.0,24,
sagunto,Sagunto,C. Valenciana,levante,1440,718,6.0,6.3,9.0,25,
santa-cruz-de-tenerife,Santa Cruz de Tenerife,Canarias,islas,2000,930,5.6,6.3,9.0,22,
torrevieja,Torrevieja,C. Valenciana,levante,1800,900,6.0,8.4,12.0,20,
alcoy,Alcoy,C. Valenciana,levante,1400,700,6.0,5.6,8.0,26,
alzira,Alzira,C. Valenciana,levante,1350,670,6.0,5.6,8.0,26,
castellon-de-la-plana,Castellón de la Plana,C. Valenciana,levante,1440,718,6.0,6.3,9.0,24,
huesca,Huesca,Aragón,centro,1350,740,6.6,8.0,9.0,27,
palencia,Palencia,Castilla y León,centro,1020,580,6.8,7.5,13.2,28,
terrassa,Terrassa,Cataluña,norte,1750,875,6.0,5.6,8.0,23,
toledo,Toledo,Castilla-La Mancha,centro,1600,860,6.4,9.0,12.9,24,
torrelavega,Torrelavega,Cantabria,norte,1450,723,6.0,4.9,7.0,26,
tudela,Tudela,Navarra,norte,1460,727,6.0,4.9,7.0,26,
velez-malaga,Vélez-Málaga,Andalucía,andalucia,1600,800,6.0,7.0,10.0,22,
zaragoza,Zaragoza,Aragón,centro,1950,980,6.0,8.0,12.0,24,
alcala-de-guadaira,Alcalá de Guadaíra,Andalucía,andalucia,1400,680,5.8,5.6,8.0,26,
elche,Elche,C. Valenciana,levante,1600,780,5.8,6.3,9.0,22,
logrono,Logroño,La Rioja,norte,1560,780,6.0,8.0,11.5,23,
oliva,Oliva,C. Valenciana,levante,1700,830,5.9,7.0,10.0,22,
sabadell,Sabadell,Cataluña,norte,1800,900,6.0,5.6,8.0,22,
telde,Telde,Canarias,islas,1650,801,5.8,6.3,9.0,24,
valladolid,Valladolid,Castilla y León,centro,1600,800,6.0,7.0,11.0,25,
cordoba,Córdoba,Andalucía,andalucia,1520,740,5.8,8.5,12.0,26,
figueres,Figueres,Cataluña,norte,1500,720,5.8,5.6,8.0,22,
leon,León,Castilla y León,centro,1400,770,6.6,8.0,10.0,26,
tarragona,Tarragona,Cataluña,centro,1780,890,6.0,8.0,10.0,24,
alcala-de-henares,Alcalá de Henares,C. de Madrid,centro,1950,920,5.7,7.0,10.0,20,
benidorm,Benidorm,C. Valenciana,levante,2200,1050,5.7,7.7,11.0,18,
dos-hermanas,Dos Hermanas,Andalucía,andalucia,1600,760,5.7,6.3,9.0,24,
gandia,Gandía,C. Valenciana,levante,1900,890,5.6,7.0,10.0,21,
getafe,Getafe,C. de Madrid,centro,2400,1100,5.5,7.7,11.0,18,
gijon,Gijón,Asturias,norte,1680,800,5.7,6.5,10.0,27,
jerez-de-la-frontera,Jerez de la Frontera,Andalucía,andalucia,1650,780,5.7,6.3,9.0,25,
parla,Parla,C. de Madrid,centro,1750,820,5.6,7.0,10.0,23,
reus,Reus,Cataluña,norte,1660,785,5.7,5.6,8.0,22,
santa-pola,Santa Pola,C. Valenciana,levante,2000,950,5.7,7.0,10.0,22,
burgos,Burgos,Castilla y León,centro,1720,890,6.2,8.0,12.0,25,
fuenlabrada,Fuenlabrada,C. de Madrid,centro,1900,880,5.6,7.0,10.0,22,
fuerteventura-pjto-rosario,Fuerteventura (Pjto.Rosario),Canarias,islas,2000,920,5.5,7.0,10.0,22,
manresa,Manresa,Cataluña,norte,1800,840,5.6,5.6,8.0,22,
badalona,Badalona,Cataluña,norte,2600,1200,5.5,6.3,9.0,20,
blanes,Blanes,Cataluña,norte,2200,1000,5.5,6.3,9.0,21,
burjassot,Burjassot,C. Valenciana,levante,2100,960,5.5,7.0,10.0,21,
granada,Granada,Andalucía,andalucia,1980,910,5.5,9.0,12.0,21,
la-laguna,La Laguna,Canarias,islas,2000,920,5.5,6.3,9.0,22,
leganes,Leganés,C. de Madrid,centro,2270,1026,5.4,7.0,10.0,20,
mataro,Mataró,Cataluña,norte,2280,1033,5.4,5.6,8.0,22,
mostoles,Móstoles,C. de Madrid,centro,2160,985,5.5,7.0,10.0,21,
oviedo,Oviedo,Asturias,norte,1850,880,5.7,7.0,8.0,26,
